Class,Violation Type,Severity,Message,Start Line,Start Column,End Line,End Column
AccountApprovalExpiration_Sched.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),13,5,13,41
AccountApprovalExpiration_Sched.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),17,5,17,39
AccountApprovalExpiration_Test.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),32,5,32,61
AccountApprovalExpiration_Test.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),81,5,81,38
AccountApprovalExpiration_Test.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),88,5,88,51
AccountContactRelationTriggerHelper.cls,EmptyStatementBlock,4,Avoid empty block statements. (rule: Error Prone-EmptyStatementBlock),9,5,9,53
AccountContactRelationTriggerHelper.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),11,5,11,84
AccountContactRelationTriggerHelper.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),96,5,96,89
AccountContactRelationTriggerHelper.cls,CognitiveComplexity,4,The method 'DeleteFromChildAccounts(Map<Id  AccountContactRelation>)' has a cognitive complexity of 15  current threshold is 15 (rule: Design-CognitiveComplexity),96,5,96,89
AccountContactRelationTriggerHelper.cls,ApexCRUDViolation,4,Validate CRUD permission before SOQL/DML operation (rule: Security-ApexCRUDViolation),139,13,139,38
AccountContactRelationTriggerHelper.cls,ApexCRUDViolation,4,Validate CRUD permission before SOQL/DML operation (rule: Security-ApexCRUDViolation),154,17,154,107
AccountContactRelationTriggerHelper.cls,ApexCRUDViolation,4,Validate CRUD permission before SOQL/DML operation (rule: Security-ApexCRUDViolation),158,17,158,118
AccountContactRelationTriggerHelper.cls,ApexCRUDViolation,4,Validate CRUD permission before SOQL/DML operation (rule: Security-ApexCRUDViolation),172,21,172,39
AccountContactRelationTriggerHelperBatch.cls,FormalParameterNamingConventions,4,The method parameter name 'BC' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FormalParameterNamingConventions),13,9,13,75
AccountContactRelationTriggerHelperBatch.cls,FormalParameterNamingConventions,4,The method parameter name 'BC' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FormalParameterNamingConventions),20,9,20,112
AccountContactRelationTriggerHelperBatch.cls,FormalParameterNamingConventions,4,The method parameter name 'BC' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FormalParameterNamingConventions),45,9,45,59
AccountContactRelationTriggerHelperQueue.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),18,9,18,88
AccountContactRelationTriggerHelperQueue.cls,CognitiveComplexity,4,The method 'AddToChildAccounts(Map<Id  AccountContactRelation>)' has a cognitive complexity of 21  current threshold is 15 (rule: Design-CognitiveComplexity),18,9,18,88
AccountContactRelationshipTests.cls,CognitiveComplexity,4,The method 'testAddAndDeleteRelationshipToParent()' has a cognitive complexity of 29  current threshold is 15 (rule: Design-CognitiveComplexity),18,5,18,57
AccountContactRelationshipTests.cls,NcssMethodCount,4,The method testAddAndDeleteRelationshipToParent() has an NCSS line count of 72 (rule: Design-NcssMethodCount),18,5,18,57
AccountContactRelationshipTests.cls,LocalVariableNamingConventions,4,The local variable name 'ParentContact' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-LocalVariableNamingConventions),32,9,32,119
AccountContactRelationshipTests.cls,OneDeclarationPerLine,4,Use one statement for each line  it enhances code readability. (rule: Code Style-OneDeclarationPerLine),57,9,57,70
AccountContactRelationshipTests.cls,OneDeclarationPerLine,4,Use one statement for each line  it enhances code readability. (rule: Code Style-OneDeclarationPerLine),58,9,58,71
AccountContactRelationshipTests.cls,OneDeclarationPerLine,4,Use one statement for each line  it enhances code readability. (rule: Code Style-OneDeclarationPerLine),59,9,59,73
AccountContactRelationshipTests.cls,ApexUnitTestClassShouldHaveAsserts,4,Apex unit test classes should have at least one System.assert() or assertEquals() or AssertNotEquals() call (rule: Best Practices-ApexUnitTestClassShouldHaveAsserts),117,5,117,59
AccountContactRelationshipTests.cls,LocalVariableNamingConventions,4,The local variable name 'ParentContact' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-LocalVariableNamingConventions),119,3,119,113
AccountContactRelationshipTests.cls,OperationWithLimitsInLoop,4,Avoid operations in loops that may hit governor limits (rule: Performance-OperationWithLimitsInLoop),126,6,126,27
AccountHierarchyHTTPCallout.cls,CognitiveComplexity,4,The class 'AccountHierarchyHTTPCallout' has a total cognitive complexity of 113 (highest 18)  current threshold is 50 (rule: Design-CognitiveComplexity),8,1,8,54
AccountHierarchyHTTPCallout.cls,ApexCRUDViolation,4,Validate CRUD permission before SOQL/DML operation (rule: Security-ApexCRUDViolation),51,19,51,245
AccountHierarchyHTTPCallout.cls,FormalParameterNamingConventions,4,The method parameter name 'PortIdOrOrigId' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FormalParameterNamingConventions),128,11,128,111
AccountHierarchyHTTPCallout.cls,ExcessiveParameterList,4,Avoid long parameter lists (rule: Design-ExcessiveParameterList),314,11,314,193
AccountHierarchyHTTPCallout.cls,CognitiveComplexity,4,The method 'getRequestBodyonOriginationAccountInfo(Account  String  String  String  String)' has a cognitive complexity of 18  current threshold is 15 (rule: Design-CognitiveComplexity),314,11,314,193
AccountHierarchyHTTPCalloutTest.cls,ApexUnitTestClassShouldHaveAsserts,4,Apex unit test classes should have at least one System.assert() or assertEquals() or AssertNotEquals() call (rule: Best Practices-ApexUnitTestClassShouldHaveAsserts),144,6,144,42
AccountHierarchyHTTPCalloutTest.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),144,6,144,42
AccountProgramTriggerDispatcher.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),36,5,36,83
AccountProgramTriggerDispatcher.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),44,5,44,119
AccountProgramTriggerHelper.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),10,5,10,107
AccountProgramTriggerHelper.cls,ApexCRUDViolation,4,Validate CRUD permission before SOQL/DML operation (rule: Security-ApexCRUDViolation),13,9,13,103
AccountProgramTriggerHelper.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),20,5,20,120
AccountProgramTriggerHelper.cls,ApexCRUDViolation,4,Validate CRUD permission before SOQL/DML operation (rule: Security-ApexCRUDViolation),23,9,23,145
AccountProgramTriggerHelper.cls,CognitiveComplexity,4,The method 'getPortfolioOriginationCode(List<Account_Program__c>)' has a cognitive complexity of 21  current threshold is 15 (rule: Design-CognitiveComplexity),34,5,34,97
AccountProgramTriggerHelper.cls,AvoidDeeplyNestedIfStmts,4,Deeply nested if..else statements are hard to read (rule: Design-AvoidDeeplyNestedIfStmts),81,25,81,71
AccountProgramTriggerHelperTest.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),12,5,12,26
AccountProgramTriggerHelperTest.cls,LocalVariableNamingConventions,4,The local variable name 'UpdatedAccProg' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-LocalVariableNamingConventions),34,9,34,151
AccountProgramTriggerHelperTest.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),39,5,39,59
AccountProgramTriggerHelperTest.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),56,5,56,56
AccountRelationshipTriggerHandler.cls,ApexSharingViolations,4,Apex classes should declare a sharing model if DML or SOQL is used (rule: Security-ApexSharingViolations),1,1,1,49
AccountRelationshipTriggerHandler.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),5,5,5,131
AccountRelationshipTriggerHandler.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),11,5,11,131
AccountRelationshipTriggerHandler.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),17,5,17,139
AccountRelationshipTriggerHandler.cls,ApexCRUDViolation,4,Validate CRUD permission before SOQL/DML operation (rule: Security-ApexCRUDViolation),28,13,28,168
AccountRelationshipTriggerHandler.cls,ApexCRUDViolation,4,Validate CRUD permission before SOQL/DML operation (rule: Security-ApexCRUDViolation),38,13,38,29
AccountRelationshipTriggerHandler.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),44,5,44,139
AccountRelationshipTriggerHandlerTest.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),4,5,4,37
AccountRelationshipTriggerHandlerTest.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),76,5,76,56
AccountTriggerDispatcher.cls,ExcessiveParameterList,4,Avoid long parameter lists (rule: Design-ExcessiveParameterList),25,5,25,143
AccountTriggerDispatcher.cls,ExcessiveParameterList,4,Avoid long parameter lists (rule: Design-ExcessiveParameterList),47,5,47,156
AccountTriggerHandlerTest.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),5,5,5,32
AccountTriggerHelper.cls,CognitiveComplexity,4,The class 'AccountTriggerHelper' has a total cognitive complexity of 53 (highest 24)  current threshold is 50 (rule: Design-CognitiveComplexity),8,1,8,50
AccountTriggerHelper.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),9,5,9,69
AccountTriggerHelper.cls,ApexCRUDViolation,4,Validate CRUD permission before SOQL/DML operation (rule: Security-ApexCRUDViolation),26,9,26,119
AccountTriggerHelper.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),33,5,33,99
AccountTriggerHelper.cls,OneDeclarationPerLine,4,Use one statement for each line  it enhances code readability. (rule: Code Style-OneDeclarationPerLine),43,9,43,48
AccountTriggerHelper.cls,OperationWithLimitsInLoop,4,Avoid operations in loops that may hit governor limits (rule: Performance-OperationWithLimitsInLoop),49,17,49,50
AccountTriggerHelper.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),59,5,59,114
AccountTriggerHelper.cls,OneDeclarationPerLine,4,Use one statement for each line  it enhances code readability. (rule: Code Style-OneDeclarationPerLine),62,9,62,43
AccountTriggerHelper.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),111,5,111,69
AccountTriggerHelper.cls,CognitiveComplexity,4,The method 'AddAccountContacts(Map<Id  Account>)' has a cognitive complexity of 24  current threshold is 15 (rule: Design-CognitiveComplexity),111,5,111,69
AccountTriggerHelper.cls,ApexCRUDViolation,4,Validate CRUD permission before SOQL/DML operation (rule: Security-ApexCRUDViolation),182,13,182,35
AccountTriggerHelper.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),190,9,190,94
AccountTriggerHelper.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),212,5,212,105
AccountTriggerHelper.cls,LocalVariableNamingConventions,4,The local variable name 'SalesRepAcclist' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-LocalVariableNamingConventions),214,9,214,50
AccountTriggerHelperTest.cls,ApexUnitTestClassShouldHaveAsserts,4,Apex unit test classes should have at least one System.assert() or assertEquals() or AssertNotEquals() call (rule: Best Practices-ApexUnitTestClassShouldHaveAsserts),60,5,60,48
AccountTriggerHelperTest.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),60,5,60,48
AccountTriggerHelperTest.cls,ApexUnitTestClassShouldHaveAsserts,4,Apex unit test classes should have at least one System.assert() or assertEquals() or AssertNotEquals() call (rule: Best Practices-ApexUnitTestClassShouldHaveAsserts),76,5,76,39
AccuityService.cls,CognitiveComplexity,4,The class 'AccuityService' has a total cognitive complexity of 63 (highest 54)  current threshold is 50 (rule: Design-CognitiveComplexity),2,1,2,43
AccuityService.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),8,5,8,59
AccuityService.cls,ApexCRUDViolation,4,Validate CRUD permission before SOQL/DML operation (rule: Security-ApexCRUDViolation),10,13,10,123
AccuityService.cls,ApexSuggestUsingNamedCred,4,Consider using named credentials for authenticated callouts (rule: Security-ApexSuggestUsingNamedCred),26,17,26,73
AccuityService.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),54,5,54,73
AccuityService.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),68,5,68,124
AccuityService.cls,CognitiveComplexity,4,The method 'ProcessAccuityResponse(AccuityServiceModel.AccuityResponse  Bank_Account__c)' has a cognitive complexity of 54  current threshold is 15 (rule: Design-CognitiveComplexity),68,5,68,124
AccuityService.cls,AvoidDeeplyNestedIfStmts,4,Deeply nested if..else statements are hard to read (rule: Design-AvoidDeeplyNestedIfStmts),81,33,81,236
AccuityService.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),109,5,109,63
AccuityService.cls,ApexCRUDViolation,4,Validate CRUD permission before SOQL/DML operation (rule: Security-ApexCRUDViolation),111,9,111,19
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'bank_Code' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),6,9,6,46
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'gpws_Query' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),12,9,12,48
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'bank_Code' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),20,9,20,46
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'state_Prov_Reg' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),28,9,28,49
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'postal_Code' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),32,9,32,46
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'bank_Total' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),46,9,46,46
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'name_Abbr' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),58,9,58,44
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'office_Type' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),60,9,60,46
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'institution_Type' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),62,9,62,51
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'state_Prov_Reg' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),70,9,70,49
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'state_Prov_Reg_Abbr' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),72,9,72,54
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'postal_Code' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),74,9,74,46
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'country_Iso' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),80,9,80,46
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'department_list' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),82,9,82,58
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'sanctions_List' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),84,9,84,51
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'department_Name' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),92,9,92,50
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'contact_List' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),94,9,94,54
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'swift_Pairing' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),118,9,118,48
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'addl_Code_Type' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),120,9,120,49
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'code_Status' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),122,9,122,46
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'formatted_Code' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),124,9,124,56
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'clearing_Detail' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),144,9,144,64
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'clearing_System' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),148,9,148,58
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'member_Type' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),150,9,150,46
AccuityServiceModel.cls,PropertyNamingConventions,4,The instance property name 'direct_Participant_Code' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),154,9,154,58
AccuityServiceTest.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),3,5,3,37
AccuityServiceTest.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),17,5,17,43
AccuityServiceTest.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),76,5,76,47
AccuityServiceTest.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),90,5,90,65
AddressSearchHTTPCallout.cls,ApexSharingViolations,4,Apex classes should declare a sharing model if DML or SOQL is used (rule: Security-ApexSharingViolations),8,1,8,39
AddressSearchHTTPCallout.cls,FieldNamingConventions,4,The constant field name 'googleMapsApiKey' doesn't match '[A-Z][A-Z0-9_]*' (rule: Code Style-FieldNamingConventions),10,5,10,88
AddressSearchHTTPCallout.cls,FieldNamingConventions,4,The constant field name 'googleMapsApiUrl' doesn't match '[A-Z][A-Z0-9_]*' (rule: Code Style-FieldNamingConventions),11,5,11,82
AddressSearchHTTPCallout.cls,MethodNamingConventions,4,Method name does not begin with a lower case character. (rule: Code Style-MethodNamingConventions),50,5,50,63
AddressSearchHTTPCalloutTest.cls,FieldNamingConventions,4,The instance field name 'place_id' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FieldNamingConventions),41,9,41,25
AdvisoryContactWrapper.cls,CognitiveComplexity,4,The class 'AdvisoryContactWrapper' has a total cognitive complexity of 75 (highest -2147483648)  current threshold is 50 (rule: Design-CognitiveComplexity),1,1,1,51
AdvisoryContactWrapper.cls,FieldNamingConventions,4,The instance field name 'ClientId' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FieldNamingConventions),4,9,4,45
AdvisoryContactWrapper.cls,FieldNamingConventions,4,The instance field name 'UserKey' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FieldNamingConventions),5,9,5,44
AdvisoryContactWrapper.cls,FieldNamingConventions,4,The instance field name 'UserType' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FieldNamingConventions),6,9,6,45
AdvisoryContactWrapper.cls,PropertyNamingConventions,4,The instance property name 'AdvisoryContacts' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),10,9,10,69
AdvisoryContactWrapper.cls,IfStmtsMustUseBraces,4,Avoid using if statements without curly braces (rule: Code Style-IfStmtsMustUseBraces),13,17,13,104
AdvisoryContactWrapper.cls,IfElseStmtsMustUseBraces,4,Avoid using if...else statements without curly braces (rule: Code Style-IfElseStmtsMustUseBraces),13,17,13,104
AdvisoryContactWrapper.cls,FieldNamingConventions,4,The instance field name 'AdvisoryRequest' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FieldNamingConventions),21,9,21,61
AdvisoryContactWrapper.cls,PropertyNamingConventions,4,The instance property name 'AdvisoryAutoContact' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-PropertyNamingConventions),22,9,22,72
AdvisoryContactWrapper.cls,IfStmtsMustUseBraces,4,Avoid using if statements without curly braces (rule: Code Style-IfStmtsMustUseBraces),24,17,24,110
AdvisoryContactWrapper.cls,IfElseStmtsMustUseBraces,4,Avoid using if...else statements without curly braces (rule: Code Style-IfElseStmtsMustUseBraces),24,17,24,110
AdvisoryContactWrapper.cls,ExcessiveParameterList,4,Avoid long parameter lists (rule: Design-ExcessiveParameterList),49,9,49,143
AdvisoryContactWrapper.cls,FieldNamingConventions,4,The instance field name 'ClientID' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FieldNamingConventions),68,9,68,45
AdvisoryContactWrapper.cls,IfStmtsMustUseBraces,4,Avoid using if statements without curly braces (rule: Code Style-IfStmtsMustUseBraces),77,13,77,133
AdvisoryContactWrapper.cls,IfElseStmtsMustUseBraces,4,Avoid using if...else statements without curly braces (rule: Code Style-IfElseStmtsMustUseBraces),77,13,77,133
AdvisoryContactWrapper.cls,FieldNamingConventions,4,The instance field name 'ExceptionMessage' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FieldNamingConventions),88,9,88,53
AdvisoryContactWrapper.cls,FieldNamingConventions,4,The instance field name 'ExceptionType' doesn't match '[a-z][a-zA-Z0-9]*' (rule: Code Style-FieldNamingConventions),89,9,89,50
AdvisoryContactWrapper.cls,IfStmtsMustUseBraces,4,Avoid using if statements without curly braces (rule: Code Style-IfStmtsMustUseBraces),128,17,128,79
AdvisoryContactWrapper.cls,IfElseStmtsMustUseBraces,4,Avoid using if...else statements without curly braces (rule: Code Style-IfElseStmtsMustUseBraces),128,17,128,79
AdvisoryContactWrapper.cls,IfStmtsMustUseBraces,4,Avoid using if statements without curly braces (rule: Code Style-IfStmtsMustUseBraces),129,17,129,77
AdvisoryContactWrapper.cls,IfElseStmtsMustUseBraces,4,Avoid using if...else statements without curly braces (rule: Code Style-IfElseStmtsMustUseBraces),129,17,129,77
AdvisoryContactWrapper.cls,IfStmtsMustUseBraces,4,Avoid using if statements without curly braces (rule: Code Style-IfStmtsMustUseBraces),130,17,130,79
